"unique_id","group","keys","RT","trialID"
"002",2,"2",18.2002221033908,1
"002",2,"1",15.834088558564,2
"009",1,"2",20.3177421152359,1
"009",1,"2",20.1176168017555,2
"036",1,"1",17.3488366212696,1
"036",1,"1",22.6031566245947,2
"046",2,"2",13.6671886753757,1
"046",2,"2",11.6126472002361,2
"056",1,"1",14.7227636328898,1
"056",1,"1",7.50577185628936,2
"058",1,"2",30.470135680167,1
"058",1,"1",13.8773853844032,2
"070",1,"2",18.3449290351709,1
"070",1,"1",17.9917455932591,2
"153",2,"2",16.6542452576105,1
"153",2,"2",10.105551490793,2
"178",1,"2",16.1307363860542,1
"178",1,"2",11.9049881995888,2
"18008",1,"2",23.6960553938989,1
"18008",1,"2",9.70929349644575,2
"231",2,"2",16.4026296847733,1
"231",2,"1",11.3463488847483,2
"266",1,"1",3.62199673824944,1
"266",1,"1",11.8170515098609,2
"267",2,"2",12.8770669645164,1
"267",2,"2",17.4177054164466,2
"309",1,"2",10.9760458649835,1
"309",1,"1",7.50133688678034,2
"311",1,"2",15.4576809543651,1
"311",1,"1",14.1884366921149,2
"391",1,"2",18.3435016794829,1
"391",1,"1",10.9086871566251,2
"397",1,"2",19.8675340363989,1
"397",1,"1",18.7609745999798,2
"411",2,"2",15.7391069545411,1
"411",2,"1",11.0996867946815,2
"464",2,"2",23.4665694551077,1
"464",2,"1",15.2432365377899,2
"511",2,"2",23.6166113712825,1
"511",2,"2",14.0862600118853,2
"548",1,"1",16.2925273402361,1
"548",1,"1",10.2601030952064,2
"58008",2,"2",25.804083598312,1
"58008",2,"1",11.7217040765099,2
"723",2,"2",32.2743243649602,1
"723",2,"2",26.3508585488889,2
"752",1,"2",10.4888576965313,1
"752",1,"1",12.0453976566205,2
"753",2,"2",16.0307638761587,1
"753",2,"1",11.2947826525196,2
"839",2,"2",18.248144393554,1
"839",2,"2",13.9868633970618,2
"893",1,"2",13.5994029047433,1
"893",1,"2",9.42671577015426,2
"895",2,"2",10.6211857838789,1
"895",2,"2",11.3033413477242,2
"923",2,"2",8.9832549400162,1
"923",2,"2",10.970232540858,2
"941",2,"2",14.7094191259239,1
"941",2,"1",13.5715779609745,2
"969",1,"2",23.7962013203651,1
"969",1,"2",9.52145107858814,2
