"unique_id","group","keys","RT","trialID"
"002",2,"p",5.73017603135668,1
"002",2,"s",2.44773460109718,2
"002",2,"t",3.21125932049472,3
"002",2,"m",3.21410020487383,4
"009",1,"n",3.39468737633433,1
"009",1,"h",1.36407606664579,2
"009",1,"p",3.55428771674633,3
"009",1,"h",2.22212982177734,4
"036",1,"n",3.20437665516511,1
"036",1,"h",1.85497074970044,2
"036",1,"c",1.74453866225667,3
"036",1,"h",1.5521892758552,4
"046",2,"p",2.09479671693407,1
"046",2,"s",4.56773101654835,2
"046",2,"t",1.49077253579162,3
"046",2,"h",1.81189832044765,4
"056",1,"p",2.41057889233343,1
"056",1,"h",1.65639558038674,2
"056",1,"c",1.12299268995412,3
"056",1,"h",1.15736901317723,4
"058",1,"n",4.99349214299582,1
"058",1,"h",1.63613600889221,2
"058",1,"c",3.54576872754842,3
"058",1,"h",2.27733315736987,4
"070",1,"n",4.70063691749237,1
"070",1,"h",3.26710634340998,2
"070",1,"c",2.47378809074871,3
"070",1,"h",1.98945818957873,4
"153",2,"p",2.84154693642631,1
"153",2,"s",1.49899812252261,2
"153",2,"c",1.95705241058022,3
"153",2,"n",7.25978884729557,4
"178",1,"n",2.6411482214462,1
"178",1,"h",1.64106288820039,2
"178",1,"c",1.64805863017682,3
"178",1,"h",1.78967460396234,4
"18008",1,"p",4.90793575032149,1
"18008",1,"h",2.38964126084466,2
"18008",1,"c",1.653933188878,3
"18008",1,"h",1.74322173907422,4
"231",2,"p",12.9682299761334,1
"231",2,"s",2.95939087902661,2
"231",2,"c",2.43087260308675,3
"231",2,"m",2.38246971659828,4
"266",1,"n",2.04742996348068,1
"266",1,"h",1.15671439561993,2
"266",1,"c",1.11745194462128,3
"266",1,"h",1.12082024361007,4
"267",2,"p",4.24405431631021,1
"267",2,"f",3.56403165543452,2
"267",2,"f",5.44045466906391,3
"267",2,"m",3.45811315206811,4
"309",1,"p",2.91466364101507,1
"309",1,"f",1.95017963426653,2
"309",1,"c",1.49936671706382,3
"309",1,"m",1.50040770298801,4
"311",1,"n",2.43409021967091,1
"311",1,"h",1.46131947566755,2
"311",1,"c",1.89785907999612,3
"311",1,"h",1.73375228326768,4
"391",1,"n",1.73595300980378,1
"391",1,"h",1.43064030713867,2
"391",1,"c",2.27173527423292,3
"391",1,"h",1.0545460866997,4
"397",1,"n",1.76781389780808,1
"397",1,"y",1.6566385673359,2
"397",1,"c",1.18766192568,3
"397",1,"h",1.2595077380538,4
"411",2,"p",2.7255563265644,1
"411",2,"s",1.68798039550893,2
"411",2,"c",1.51680554426275,3
"411",2,"h",3.26674470468424,4
"464",2,"p",2.23803436080925,1
"464",2,"s",1.55815629288554,2
"464",2,"c",2.89440584252588,3
"464",2,"m",2.17517248401418,4
"511",2,"p",2.35839271754958,1
"511",2,"s",2.40241161105223,2
"511",2,"c",2.47091520647518,3
"511",2,"m",2.72911015653517,4
"548",1,"n",2.88334082625806,1
"548",1,"h",1.26690762769431,2
"548",1,"c",1.45110960805323,3
"548",1,"h",1.05130184488371,4
"58008",2,"p",2.671279147733,1
"58008",2,"s",1.57272855122574,2
"58008",2,"t",1.92814532597549,3
"58008",2,"m",1.84026970108971,4
"723",2,"p",2.25300010107458,1
"723",2,"f",1.69987294799648,2
"723",2,"t",1.09988432563841,3
"723",2,"h",3.78103370359167,4
"752",1,"n",2.19543751829769,1
"752",1,"h",1.41994126234204,2
"752",1,"p",1.65494889090769,3
"752",1,"h",2.23351390263997,4
"753",2,"p",2.93397091072984,1
"753",2,"s",1.66608052630909,2
"753",2,"t",1.76413294952363,3
"753",2,"m",1.80160260852426,4
"839",2,"p",2.24092937563546,1
"839",2,"s",1.87331861606799,2
"839",2,"t",3.00961778545752,3
"839",2,"m",2.45565942162648,4
"893",1,"n",3.1120448600268,1
"893",1,"t",3.21515146247111,2
"893",1,"p",1.38839365786407,3
"893",1,"m",1.60579815378878,4
"895",2,"p",3.59840181982145,1
"895",2,"s",1.53128883941099,2
"895",2,"t",1.94409411295783,3
"895",2,"m",1.96958029491361,4
"923",2,"p",1.63932896498591,1
"923",2,"s",1.0737322291825,2
"923",2,"c",1.32658674311824,3
"923",2,"m",2.31766033754684,4
"941",2,"p",2.44791553914547,1
"941",2,"s",2.17272822081577,2
"941",2,"c",1.37004662514664,3
"941",2,"m",1.93458341201767,4
"969",1,"p",1.9200240354985,1
"969",1,"f",3.23222181294113,2
"969",1,"p",1.14910984621383,3
"969",1,"h",1.17631776886992,4
